Date,Rank,Title,Type,Netflix Release Date,Days In Top 10
4/26/2021,7,Synchronic,Movie,16-Apr-21,9
4/26/2021,8,Thunder Force,Movie,9-Apr-21,16
4/26/2021,9,The Serpent,TV Show,2-Apr-21,22
4/26/2021,10,Nicky  Ricky  Dicky & Dawn,TV Show,12-Apr-21,14
4/27/2021,1,Shadow and Bone,TV Show,23-Apr-21,4
4/27/2021,2,Stowaway,Movie,22-Apr-21,5
4/27/2021,3,Life in Color with David At…,TV Show,22-Apr-21,5
4/27/2021,4,The Baker and the Beauty,TV Show,13-Apr-21,12
4/27/2021,5,The Circle US,TV Show,1-Jan-20,13
4/27/2021,6,Cocomelon,TV Show,1-Jun-20,186
4/27/2021,7,The Serpent,TV Show,2-Apr-21,23
4/27/2021,8,Nicky  Ricky  Dicky & Dawn,TV Show,12-Apr-21,15
4/27/2021,9,American Me,Movie,17-Apr-21,1
4/27/2021,10,Ginny & Georgia,TV Show,24-Feb-21,41
4/28/2021,1,Shadow and Bone,TV Show,23-Apr-21,5
4/28/2021,2,Stowaway,Movie,22-Apr-21,6
4/28/2021,3,Life in Color with David At…,TV Show,22-Apr-21,6
4/28/2021,4,The Baker and the Beauty,TV Show,13-Apr-21,13
4/28/2021,5,The Circle US,TV Show,1-Jan-20,14
4/28/2021,6,Cocomelon,TV Show,1-Jun-20,187
4/28/2021,7,The Serpent,TV Show,2-Apr-21,24
4/28/2021,8,Nicky  Ricky  Dicky & Dawn,TV Show,12-Apr-21,16
4/28/2021,9,American Me,Movie,17-Apr-21,2
4/28/2021,10,Ginny & Georgia,TV Show,24-Feb-21,42
4/29/2021,1,Shadow and Bone,TV Show,23-Apr-21,6
4/29/2021,2,The Circle US,TV Show,1-Jan-20,15
4/29/2021,3,Stowaway,Movie,22-Apr-21,7
4/29/2021,4,The Baker and the Beauty,TV Show,13-Apr-21,14
4/29/2021,5,Life in Color with David At…,TV Show,22-Apr-21,7
4/29/2021,6,Cocomelon,TV Show,1-Jun-20,188
4/29/2021,7,Nicky  Ricky  Dicky & Dawn,TV Show,12-Apr-21,17
4/29/2021,8,American Me,Movie,17-Apr-21,3
4/29/2021,9,Ginny & Georgia,TV Show,24-Feb-21,43
4/29/2021,10,The Serpent,TV Show,2-Apr-21,25
4/30/2021,1,Shadow and Bone,TV Show,23-Apr-21,7
4/30/2021,2,The Circle US,TV Show,1-Jan-20,16
4/30/2021,3,Things Heard & Seen,Movie,29-Apr-21,1
4/30/2021,4,Cocomelon,TV Show,1-Jun-20,189
4/30/2021,5,The Baker and the Beauty,TV Show,13-Apr-21,15
4/30/2021,6,Stowaway,Movie,22-Apr-21,8
4/30/2021,7,Yasuke,TV Show,29-Apr-21,1
4/30/2021,8,Life in Color with David At…,TV Show,22-Apr-21,8
4/30/2021,9,Nicky  Ricky  Dicky & Dawn,TV Show,12-Apr-21,18
4/30/2021,10,Ginny & Georgia,TV Show,24-Feb-21,44
5/1/2021,1,The Mitchells vs. The Machines,Movie,30-Apr-21,1
5/1/2021,2,Shadow and Bone,TV Show,23-Apr-21,8
5/1/2021,3,Things Heard & Seen,Movie,29-Apr-21,2
5/1/2021,4,The Circle US,TV Show,1-Jan-20,17
5/1/2021,5,Cocomelon,TV Show,1-Jun-20,190
5/1/2021,6,Yasuke,TV Show,29-Apr-21,2
5/1/2021,7,Stowaway,Movie,22-Apr-21,9
5/1/2021,8,The Baker and the Beauty,TV Show,13-Apr-21,16
5/1/2021,9,Life in Color with David At…,TV Show,22-Apr-21,9
5/1/2021,10,The Innocent,TV Show,30-Apr-21,1
5/2/2021,1,The Mitchells vs. The Machines,Movie,30-Apr-21,2
5/2/2021,2,Shadow and Bone,TV Show,23-Apr-21,9
5/2/2021,3,Things Heard & Seen,Movie,29-Apr-21,3
5/2/2021,4,Madagascar 3: Europe's Most…,Movie,1-May-21,1
5/2/2021,5,The Circle US,TV Show,1-Jan-20,18
5/2/2021,6,Love Happens,Movie,1-May-21,1
5/2/2021,7,Green Zone,Movie,1-May-21,1
5/2/2021,8,Cocomelon,TV Show,1-Jun-20,191
5/2/2021,9,Yasuke,TV Show,29-Apr-21,3
5/2/2021,10,The Innocent,TV Show,30-Apr-21,2
5/3/2021,1,The Mitchells vs. The Machines,Movie,30-Apr-21,3
5/3/2021,2,Shadow and Bone,TV Show,23-Apr-21,10
5/3/2021,3,Things Heard & Seen,Movie,29-Apr-21,4
5/3/2021,4,Madagascar 3: Europe's Most…,Movie,1-May-21,2
5/3/2021,5,The Circle US,TV Show,1-Jan-20,19
5/3/2021,6,Love Happens,Movie,1-May-21,2
5/3/2021,7,Green Zone,Movie,1-May-21,2
5/3/2021,8,Cocomelon,TV Show,1-Jun-20,192
5/3/2021,9,Yasuke,TV Show,29-Apr-21,4
5/3/2021,10,The Innocent,TV Show,30-Apr-21,3
5/4/2021,1,The Mitchells vs. The Machines,Movie,30-Apr-21,4
5/4/2021,2,Shadow and Bone,TV Show,23-Apr-21,11
5/4/2021,3,Madagascar 3: Europe's Most…,Movie,1-May-21,3
5/4/2021,4,Green Zone,Movie,1-May-21,3
5/4/2021,5,Love Happens,Movie,1-May-21,3
5/4/2021,6,Things Heard & Seen,Movie,29-Apr-21,5
5/4/2021,7,The Circle US,TV Show,1-Jan-20,20
5/4/2021,8,The Innocent,TV Show,30-Apr-21,4
5/4/2021,9,Your Highness,Movie,1-May-21,1
5/4/2021,10,Cocomelon,TV Show,1-Jun-20,193
5/5/2021,1,The Mitchells vs. The Machines,Movie,30-Apr-21,5
5/5/2021,2,Shadow and Bone,TV Show,23-Apr-21,12
5/5/2021,3,Selena: The Series,TV Show,4-Dec-20,12
5/5/2021,4,Madagascar 3: Europe's Most…,Movie,1-May-21,4
5/5/2021,5,Love Happens,Movie,1-May-21,4
5/5/2021,6,Green Zone,Movie,1-May-21,4
5/5/2021,7,The Innocent,TV Show,30-Apr-21,5
5/5/2021,8,Things Heard & Seen,Movie,29-Apr-21,6
5/5/2021,9,The Circle US,TV Show,1-Jan-20,21
5/5/2021,10,Cocomelon,TV Show,1-Jun-20,194
5/6/2021,1,The Mitchells vs. The Machines,Movie,30-Apr-21,6
5/6/2021,2,Shadow and Bone,TV Show,23-Apr-21,13
5/6/2021,3,Selena: The Series,TV Show,4-Dec-20,13
5/6/2021,4,Madagascar 3: Europe's Most…,Movie,1-May-21,5
5/6/2021,5,Love Happens,Movie,1-May-21,5
5/6/2021,6,Green Zone,Movie,1-May-21,5
5/6/2021,7,The Innocent,TV Show,30-Apr-21,6
5/6/2021,8,Things Heard & Seen,Movie,29-Apr-21,7
5/6/2021,9,The Circle US,TV Show,1-Jan-20,22
5/6/2021,10,Cocomelon,TV Show,1-Jun-20,195
5/7/2021,1,The Sons of Sam: A Descent …,TV Show,5-May-21,1
5/7/2021,2,The Mitchells vs. The Machines,Movie,30-Apr-21,7
5/7/2021,3,Selena: The Series,TV Show,4-Dec-20,14
5/7/2021,4,The Circle US,TV Show,1-Jan-20,23
5/7/2021,5,Shadow and Bone,TV Show,23-Apr-21,14
5/7/2021,6,Madagascar 3: Europe's Most…,Movie,1-May-21,6
5/7/2021,7,Cocomelon,TV Show,1-Jun-20,196
5/7/2021,8,The Innocent,TV Show,30-Apr-21,7
5/7/2021,9,Green Zone,Movie,1-May-21,6
5/7/2021,10,Love Happens,Movie,1-May-21,6
5/8/2021,1,Jupiter's Legacy,TV Show,7-May-21,1
5/8/2021,2,The Sons of Sam: A Descent …,TV Show,5-May-21,2
5/8/2021,3,The Mitchells vs. The Machines,Movie,30-Apr-21,8
5/8/2021,4,Selena: The Series,TV Show,4-Dec-20,15
5/8/2021,5,Shadow and Bone,TV Show,23-Apr-21,15
5/8/2021,6,Madagascar 3: Europe's Most…,Movie,1-May-21,7
5/8/2021,7,The Circle US,TV Show,1-Jan-20,24
5/8/2021,8,Cocomelon,TV Show,1-Jun-20,197
5/8/2021,9,Monster,Movie,7-May-21,1
5/8/2021,10,The Innocent,TV Show,30-Apr-21,8
5/9/2021,1,Jupiter's Legacy,TV Show,7-May-21,2
5/9/2021,2,The Mitchells vs. The Machines,Movie,30-Apr-21,9
5/9/2021,3,The Sons of Sam: A Descent …,TV Show,5-May-21,3
5/9/2021,4,Selena: The Series,TV Show,4-Dec-20,16
5/9/2021,5,Shadow and Bone,TV Show,23-Apr-21,16
5/9/2021,6,Monster,Movie,7-May-21,2
5/9/2021,7,Madagascar 3: Europe's Most…,Movie,1-May-21,8
5/9/2021,8,Cocomelon,TV Show,1-Jun-20,198
5/9/2021,9,The Circle US,TV Show,1-Jan-20,25
5/9/2021,10,Dead Man Down,Movie,6-Nov-13,1
5/10/2021,1,Jupiter's Legacy,TV Show,7-May-21,3
5/10/2021,2,The Mitchells vs. The Machines,Movie,30-Apr-21,10
5/10/2021,3,The Sons of Sam: A Descent …,TV Show,5-May-21,4
5/10/2021,4,Dead Man Down,Movie,6-Nov-13,2
5/10/2021,5,Selena: The Series,TV Show,4-Dec-20,17
5/10/2021,6,Shadow and Bone,TV Show,23-Apr-21,17
5/10/2021,7,Monster,Movie,7-May-21,3
5/10/2021,8,Madagascar 3: Europe's Most…,Movie,1-May-21,9
5/10/2021,9,StartUp,TV Show,4-May-21,1
5/10/2021,10,Cocomelon,TV Show,1-Jun-20,199
5/11/2021,1,Jupiter's Legacy,TV Show,7-May-21,4
5/11/2021,2,The Mitchells vs. The Machines,Movie,30-Apr-21,11
5/11/2021,3,The Sons of Sam: A Descent …,TV Show,5-May-21,5
5/11/2021,4,Dead Man Down,Movie,6-Nov-13,3
5/11/2021,5,Selena: The Series,TV Show,4-Dec-20,18
5/11/2021,6,StartUp,TV Show,4-May-21,2
5/11/2021,7,Shadow and Bone,TV Show,23-Apr-21,18
5/11/2021,8,Monster,Movie,7-May-21,4
5/11/2021,9,Cocomelon,TV Show,1-Jun-20,200
5/11/2021,10,Madagascar 3: Europe's Most…,Movie,1-May-21,10
5/12/2021,1,Jupiter's Legacy,TV Show,7-May-21,5
5/12/2021,2,The Mitchells vs. The Machines,Movie,30-Apr-21,12
5/12/2021,3,StartUp,TV Show,4-May-21,3
5/12/2021,4,The Sons of Sam: A Descent …,TV Show,5-May-21,6
5/12/2021,5,Selena: The Series,TV Show,4-Dec-20,19
5/12/2021,6,Shadow and Bone,TV Show,23-Apr-21,19
5/12/2021,7,Dead Man Down,Movie,6-Nov-13,4
5/12/2021,8,Cocomelon,TV Show,1-Jun-20,201
5/12/2021,9,Monster,Movie,7-May-21,5
5/12/2021,10,Madagascar 3: Europe's Most…,Movie,1-May-21,11
5/13/2021,1,Jupiter's Legacy,TV Show,7-May-21,6
5/13/2021,2,The Upshaws,TV Show,12-May-21,1
5/13/2021,3,The Mitchells vs. The Machines,Movie,30-Apr-21,13
5/13/2021,4,StartUp,TV Show,4-May-21,4
5/13/2021,5,The Sons of Sam: A Descent …,TV Show,5-May-21,7
5/13/2021,6,Cocomelon,TV Show,1-Jun-20,202
5/13/2021,7,Selena: The Series,TV Show,4-Dec-20,20
5/13/2021,8,Shadow and Bone,TV Show,23-Apr-21,20
5/13/2021,9,Dead Man Down,Movie,6-Nov-13,5
5/13/2021,10,Madagascar 3: Europe's Most…,Movie,1-May-21,12
5/14/2021,1,The Upshaws,TV Show,12-May-21,2
5/14/2021,2,Jupiter's Legacy,TV Show,7-May-21,7
5/14/2021,3,StartUp,TV Show,4-May-21,5
5/14/2021,4,The Mitchells vs. The Machines,Movie,30-Apr-21,14
5/14/2021,5,CastleVania,TV Show,7-Jul-17,1
5/14/2021,6,Cocomelon,TV Show,1-Jun-20,203
5/14/2021,7,The Sons of Sam: A Descent …,TV Show,5-May-21,8
5/14/2021,8,Selena: The Series,TV Show,4-Dec-20,21
5/14/2021,9,Shadow and Bone,TV Show,23-Apr-21,21
5/14/2021,10,Dead Man Down,Movie,6-Nov-13,6
5/15/2021,1,The Woman in the Window,Movie,14-May-21,1
5/15/2021,2,The Upshaws,TV Show,12-May-21,3
5/15/2021,3,Jupiter's Legacy,TV Show,7-May-21,8
5/15/2021,4,The Mitchells vs. The Machines,Movie,30-Apr-21,15
5/15/2021,5,StartUp,TV Show,4-May-21,6
5/15/2021,6,Jungle Beat: The Movie,Movie,14-May-21,1
5/15/2021,7,CastleVania,TV Show,7-Jul-17,2
5/15/2021,8,Cocomelon,TV Show,1-Jun-20,204
5/15/2021,9,Halston,TV Show,14-May-21,1
5/15/2021,10,I Am All Girls,Movie,14-May-21,1
5/16/2021,1,The Woman in the Window,Movie,14-May-21,2
5/16/2021,2,The Upshaws,TV Show,12-May-21,4
5/16/2021,3,Jupiter's Legacy,TV Show,7-May-21,9
5/16/2021,4,The Mitchells vs. The Machines,Movie,30-Apr-21,16
5/16/2021,5,Love  Death & Robots,TV Show,15-Mar-19,1
5/16/2021,6,Halston,TV Show,14-May-21,2
5/16/2021,7,StartUp,TV Show,4-May-21,7
5/16/2021,8,I Am All Girls,Movie,14-May-21,2
5/16/2021,9,Cocomelon,TV Show,1-Jun-20,205
5/16/2021,10,CastleVania,TV Show,7-Jul-17,3
5/17/2021,1,The Woman in the Window,Movie,14-May-21,3
5/17/2021,2,The Upshaws,TV Show,12-May-21,5
5/17/2021,3,Jupiter's Legacy,TV Show,7-May-21,10
5/17/2021,4,Love  Death & Robots,TV Show,15-Mar-19,2
5/17/2021,5,The Mitchells vs. The Machines,Movie,30-Apr-21,17
5/17/2021,6,Halston,TV Show,14-May-21,3
5/17/2021,7,I Am All Girls,Movie,14-May-21,3
5/17/2021,8,StartUp,TV Show,4-May-21,8
5/17/2021,9,Jungle Beat: The Movie,Movie,14-May-21,2
5/17/2021,10,Cocomelon,TV Show,1-Jun-20,206
5/18/2021,1,The Woman in the Window,Movie,14-May-21,4
5/18/2021,2,The Upshaws,TV Show,12-May-21,6
5/18/2021,3,Jupiter's Legacy,TV Show,7-May-21,11
5/18/2021,4,Love  Death & Robots,TV Show,15-Mar-19,3
5/18/2021,5,The Mitchells vs. The Machines,Movie,30-Apr-21,18
5/18/2021,6,Halston,TV Show,14-May-21,4
5/18/2021,7,I Am All Girls,Movie,14-May-21,4
5/18/2021,8,StartUp,TV Show,4-May-21,9
5/18/2021,9,Jungle Beat: The Movie,Movie,14-May-21,3
5/18/2021,10,Cocomelon,TV Show,1-Jun-20,207
5/19/2021,1,The Woman in the Window,Movie,14-May-21,5
5/19/2021,2,The Upshaws,TV Show,12-May-21,7
5/19/2021,3,Jupiter's Legacy,TV Show,7-May-21,12
5/19/2021,4,StartUp,TV Show,4-May-21,10
5/19/2021,5,The Mitchells vs. The Machines,Movie,30-Apr-21,19
5/19/2021,6,I Am All Girls,Movie,14-May-21,5
5/19/2021,7,Cocomelon,TV Show,1-Jun-20,208
5/19/2021,8,Jungle Beat: The Movie,Movie,14-May-21,4
5/19/2021,9,Love  Death & Robots,TV Show,15-Mar-19,4
5/19/2021,10,Halston,TV Show,14-May-21,5
5/20/2021,1,Who Killed Sara?,TV Show,24-Mar-21,29
5/20/2021,2,The Woman in the Window,Movie,14-May-21,6
5/20/2021,3,The Upshaws,TV Show,12-May-21,8
5/20/2021,4,Jupiter's Legacy,TV Show,7-May-21,13
5/20/2021,5,StartUp,TV Show,4-May-21,11
5/20/2021,6,The Mitchells vs. The Machines,Movie,30-Apr-21,20
5/20/2021,7,Cocomelon,TV Show,1-Jun-20,209
5/20/2021,8,Jungle Beat: The Movie,Movie,14-May-21,5
5/20/2021,9,I Am All Girls,Movie,14-May-21,6
5/20/2021,10,Love  Death & Robots,TV Show,15-Mar-19,5
5/21/2021,1,Who Killed Sara?,TV Show,24-Mar-21,30
5/21/2021,2,The Woman in the Window,Movie,14-May-21,7
5/21/2021,3,The Upshaws,TV Show,12-May-21,9
5/21/2021,4,Jupiter's Legacy,TV Show,7-May-21,14
5/21/2021,5,StartUp,TV Show,4-May-21,12
5/21/2021,6,Sabotage,Movie,19-May-21,1
5/21/2021,7,Cocomelon,TV Show,1-Jun-20,210
5/21/2021,8,The Mitchells vs. The Machines,Movie,30-Apr-21,21
5/21/2021,9,Jungle Beat: The Movie,Movie,14-May-21,6
5/21/2021,10,Love  Death & Robots,TV Show,15-Mar-19,6
5/22/2021,1,Army of the Dead,Movie,21-May-21,1
5/22/2021,2,Who Killed Sara?,TV Show,24-Mar-21,31
5/22/2021,3,The Woman in the Window,Movie,14-May-21,8
5/22/2021,4,Jurassic World: Camp Cretac…,TV Show,18-Sep-20,18
5/22/2021,5,The Upshaws,TV Show,12-May-21,10
5/22/2021,6,The Mitchells vs. The Machines,Movie,30-Apr-21,22
5/22/2021,7,Cocomelon,TV Show,1-Jun-20,211
5/22/2021,8,Jupiter's Legacy,TV Show,7-May-21,15
5/22/2021,9,StartUp,TV Show,4-May-21,13
5/22/2021,10,Sabotage,Movie,19-May-21,2
5/23/2021,1,Army of the Dead,Movie,21-May-21,2
5/23/2021,2,Who Killed Sara?,TV Show,24-Mar-21,32
5/23/2021,3,The Woman in the Window,Movie,14-May-21,9
5/23/2021,4,Jurassic World: Camp Cretac…,TV Show,18-Sep-20,19
5/23/2021,5,The Mitchells vs. The Machines,Movie,30-Apr-21,23
5/23/2021,6,The Upshaws,TV Show,12-May-21,11
5/23/2021,7,Sabotage,Movie,19-May-21,3
5/23/2021,8,Cocomelon,TV Show,1-Jun-20,212
5/23/2021,9,Jupiter's Legacy,TV Show,7-May-21,16
5/23/2021,10,StartUp,TV Show,4-May-21,14
5/24/2021,1,Army of the Dead,Movie,21-May-21,3
5/24/2021,2,Who Killed Sara?,TV Show,24-Mar-21,33
5/24/2021,3,The Woman in the Window,Movie,14-May-21,10
5/24/2021,4,Sabotage,Movie,19-May-21,4
5/24/2021,5,Jurassic World: Camp Cretac…,TV Show,18-Sep-20,20
5/24/2021,6,The Mitchells vs. The Machines,Movie,30-Apr-21,24
5/24/2021,7,The Upshaws,TV Show,12-May-21,12
5/24/2021,8,Jupiter's Legacy,TV Show,7-May-21,17
5/24/2021,9,StartUp,TV Show,4-May-21,15
5/24/2021,10,Cocomelon,TV Show,1-Jun-20,213
5/25/2021,1,Army of the Dead,Movie,21-May-21,4
5/25/2021,2,Who Killed Sara?,TV Show,24-Mar-21,34
5/25/2021,3,The Woman in the Window,Movie,14-May-21,11
5/25/2021,4,Sabotage,Movie,19-May-21,5
5/25/2021,5,Jurassic World: Camp Cretac…,TV Show,18-Sep-20,21
5/25/2021,6,The Mitchells vs. The Machines,Movie,30-Apr-21,25
5/25/2021,7,The Upshaws,TV Show,12-May-21,13
5/25/2021,8,Jupiter's Legacy,TV Show,7-May-21,18
5/25/2021,9,StartUp,TV Show,4-May-21,16
5/25/2021,10,Cocomelon,TV Show,1-Jun-20,214
5/26/2021,1,Army of the Dead,Movie,21-May-21,5
5/26/2021,2,Home,Movie,25-May-21,1
5/26/2021,3,Who Killed Sara?,TV Show,24-Mar-21,35
5/26/2021,4,Cocomelon,TV Show,1-Jun-20,215
5/26/2021,5,Jurassic World: Camp Cretac…,TV Show,18-Sep-20,22
5/26/2021,6,StartUp,TV Show,4-May-21,17
5/26/2021,7,The Upshaws,TV Show,12-May-21,14
5/26/2021,8,Jupiter's Legacy,TV Show,7-May-21,19
5/26/2021,9,The Mitchells vs. The Machines,Movie,30-Apr-21,26
5/26/2021,10,Sabotage,Movie,19-May-21,6
5/27/2021,1,Army of the Dead,Movie,21-May-21,6
5/27/2021,2,Home,Movie,25-May-21,2
5/27/2021,3,Who Killed Sara?,TV Show,24-Mar-21,36
5/27/2021,4,Cocomelon,TV Show,1-Jun-20,216
5/27/2021,5,Jurassic World: Camp Cretac…,TV Show,18-Sep-20,23
5/27/2021,6,StartUp,TV Show,4-May-21,18
5/27/2021,7,The Mitchells vs. The Machines,Movie,30-Apr-21,27
5/27/2021,8,The Upshaws,TV Show,12-May-21,15
5/27/2021,9,Jupiter's Legacy,TV Show,7-May-21,20
5/27/2021,10,Sabotage,Movie,19-May-21,7
5/28/2021,1,Home,Movie,25-May-21,3
5/28/2021,2,Army of the Dead,Movie,21-May-21,7
5/28/2021,3,Blue Miracle,Movie,27-May-21,1
5/28/2021,4,Ragnarok,TV Show,31-Jan-20,1
5/28/2021,5,Who Killed Sara?,TV Show,24-Mar-21,37
5/28/2021,6,Cocomelon,TV Show,1-Jun-20,217
5/28/2021,7,The Mitchells vs. The Machines,Movie,30-Apr-21,28
5/28/2021,8,Jurassic World: Camp Cretac…,TV Show,18-Sep-20,24
5/28/2021,9,StartUp,TV Show,4-May-21,19
5/28/2021,10,The Upshaws,TV Show,12-May-21,16
5/29/2021,1,Lucifer,TV Show,15-Dec-18,21
5/29/2021,2,Home,Movie,25-May-21,4
5/29/2021,3,Dog Gone Trouble,Movie,28-May-21,1
5/29/2021,4,Army of the Dead,Movie,21-May-21,8
5/29/2021,5,Blue Miracle,Movie,27-May-21,2
5/29/2021,6,Ragnarok,TV Show,31-Jan-20,2
5/29/2021,7,The Kominsky Method,TV Show,16-Nov-18,1
5/29/2021,8,Cocomelon,TV Show,1-Jun-20,218
5/29/2021,9,Who Killed Sara?,TV Show,24-Mar-21,38
5/29/2021,10,The Mitchells vs. The Machines,Movie,30-Apr-21,29
5/30/2021,1,Lucifer,TV Show,15-Dec-18,23
5/30/2021,2,Dog Gone Trouble,Movie,28-May-21,2
5/30/2021,3,Home,Movie,25-May-21,5
5/30/2021,4,Army of the Dead,Movie,21-May-21,9
5/30/2021,5,Blue Miracle,Movie,27-May-21,3
5/30/2021,6,Ragnarok,TV Show,31-Jan-20,3
5/30/2021,7,The Kominsky Method,TV Show,16-Nov-18,2
5/30/2021,8,Cocomelon,TV Show,1-Jun-20,219
5/30/2021,9,The Mitchells vs. The Machines,Movie,30-Apr-21,30
5/30/2021,10,Who Killed Sara?,TV Show,24-Mar-21,39
5/31/2021,1,Lucifer,TV Show,15-Dec-18,24
5/31/2021,2,Dog Gone Trouble,Movie,28-May-21,3
5/31/2021,3,Home,Movie,25-May-21,6
5/31/2021,4,Blue Miracle,Movie,27-May-21,4
5/31/2021,5,Army of the Dead,Movie,21-May-21,10
5/31/2021,6,Ragnarok,TV Show,31-Jan-20,4
5/31/2021,7,The Kominsky Method,TV Show,16-Nov-18,3
5/31/2021,8,Cocomelon,TV Show,1-Jun-20,220
5/31/2021,9,The Mitchells vs. The Machines,Movie,30-Apr-21,31
5/31/2021,10,Who Killed Sara?,TV Show,24-Mar-21,40
6/1/2021,1,Lucifer,TV Show,15-Dec-18,25
6/1/2021,2,Dog Gone Trouble,Movie,28-May-21,4
6/1/2021,3,Home,Movie,25-May-21,7
6/1/2021,4,Blue Miracle,Movie,27-May-21,5
6/1/2021,5,Army of the Dead,Movie,21-May-21,11
6/1/2021,6,Dirty John,TV Show,25-Nov-19,1
6/1/2021,7,Ragnarok,TV Show,31-Jan-20,5
6/1/2021,8,The Kominsky Method,TV Show,16-Nov-18,4
6/1/2021,9,Cocomelon,TV Show,1-Jun-20,221
6/1/2021,10,Who Killed Sara?,TV Show,24-Mar-21,41
6/2/2021,1,Lucifer,TV Show,15-Dec-18,26
6/2/2021,2,Dog Gone Trouble,Movie,28-May-21,5
6/2/2021,3,Dirty John,TV Show,25-Nov-19,2
6/2/2021,4,Home,Movie,25-May-21,8
6/2/2021,5,Cocomelon,TV Show,1-Jun-20,222
6/2/2021,6,Blue Miracle,Movie,27-May-21,6
6/2/2021,7,Army of the Dead,Movie,21-May-21,12
6/2/2021,8,Ragnarok,TV Show,31-Jan-20,6
6/2/2021,9,The Kominsky Method,TV Show,16-Nov-18,5
6/2/2021,10,Who Killed Sara?,TV Show,24-Mar-21,42
6/3/2021,1,Lucifer,TV Show,15-Dec-18,27
6/3/2021,2,Dog Gone Trouble,Movie,28-May-21,6
6/3/2021,3,Dirty John,TV Show,25-Nov-19,3
6/3/2021,4,Home,Movie,25-May-21,9
6/3/2021,5,Cocomelon,TV Show,1-Jun-20,223
6/3/2021,6,2 Hearts,Movie,2-Jun-21,1
6/3/2021,7,Ragnarok,TV Show,31-Jan-20,7
6/3/2021,8,Army of the Dead,Movie,21-May-21,13
6/3/2021,9,Blue Miracle,Movie,27-May-21,7
6/3/2021,10,The Kominsky Method,TV Show,16-Nov-18,6
6/4/2021,1,Lucifer,TV Show,15-Dec-18,28
6/4/2021,2,Dirty John,TV Show,25-Nov-19,4
6/4/2021,3,Dog Gone Trouble,Movie,28-May-21,7
6/4/2021,4,Home,Movie,25-May-21,10
6/4/2021,5,2 Hearts,Movie,2-Jun-21,2
6/4/2021,6,Cocomelon,TV Show,1-Jun-20,224
6/4/2021,7,Ragnarok,TV Show,31-Jan-20,8
6/4/2021,8,Army of the Dead,Movie,21-May-21,14
6/4/2021,9,Blue Miracle,Movie,27-May-21,8
6/4/2021,10,Kim's Convenience,TV Show,13-Jul-18,1
6/5/2021,1,Lucifer,TV Show,15-Dec-18,29
6/5/2021,2,Sweet Tooth,TV Show,4-Jun-21,1
6/5/2021,3,Dirty John,TV Show,25-Nov-19,5
6/5/2021,4,Dog Gone Trouble,Movie,28-May-21,8
6/5/2021,5,Home,Movie,25-May-21,11
6/5/2021,6,Cocomelon,TV Show,1-Jun-20,225
6/5/2021,7,2 Hearts,Movie,2-Jun-21,3
6/5/2021,8,Army of the Dead,Movie,21-May-21,15
6/5/2021,9,Monsters vs. Aliens,Movie,1-Jun-21,1
6/5/2021,10,Kim's Convenience,TV Show,13-Jul-18,2
6/6/2021,1,Sweet Tooth,TV Show,4-Jun-21,2
6/6/2021,2,Lucifer,TV Show,15-Dec-18,30
6/6/2021,3,Dirty John,TV Show,25-Nov-19,6
6/6/2021,4,2 Hearts,Movie,2-Jun-21,4
6/6/2021,5,Dog Gone Trouble,Movie,28-May-21,9
6/6/2021,6,Home,Movie,25-May-21,12
6/6/2021,7,Cocomelon,TV Show,1-Jun-20,226
6/6/2021,8,Xtreme,Movie,4-Jun-21,1
6/6/2021,9,Army of the Dead,Movie,21-May-21,16
6/6/2021,10,Monsters vs. Aliens,Movie,1-Jun-21,2
6/7/2021,1,Sweet Tooth,TV Show,4-Jun-21,3
6/7/2021,2,Lucifer,TV Show,15-Dec-18,31
6/7/2021,3,2 Hearts,Movie,2-Jun-21,5
6/7/2021,4,Dirty John,TV Show,25-Nov-19,7
6/7/2021,5,Cocomelon,TV Show,1-Jun-20,227
6/7/2021,6,Home,Movie,25-May-21,13
6/7/2021,7,Dog Gone Trouble,Movie,28-May-21,10
6/7/2021,8,Xtreme,Movie,4-Jun-21,2
6/7/2021,9,Army of the Dead,Movie,21-May-21,17
6/7/2021,10,Monsters vs. Aliens,Movie,1-Jun-21,3
6/8/2021,1,Sweet Tooth,TV Show,4-Jun-21,4
6/8/2021,2,Lucifer,TV Show,15-Dec-18,32
6/8/2021,3,2 Hearts,Movie,2-Jun-21,6
6/8/2021,4,Dirty John,TV Show,25-Nov-19,8
6/8/2021,5,Cocomelon,TV Show,1-Jun-20,228
6/8/2021,6,Home,Movie,25-May-21,14
6/8/2021,7,Dog Gone Trouble,Movie,28-May-21,11
6/8/2021,8,Xtreme,Movie,4-Jun-21,3
6/8/2021,9,Monsters vs. Aliens,Movie,1-Jun-21,4
6/8/2021,10,Bo Burnham: Inside,Stand-Up Comedy,30-May-21,1
6/9/2021,1,Sweet Tooth,TV Show,4-Jun-21,5
6/9/2021,2,Lucifer,TV Show,15-Dec-18,33
6/9/2021,3,2 Hearts,Movie,2-Jun-21,7
6/9/2021,4,Dirty John,TV Show,25-Nov-19,9
6/9/2021,5,Cocomelon,TV Show,1-Jun-20,229
6/9/2021,6,Home,Movie,25-May-21,15
6/9/2021,7,Dog Gone Trouble,Movie,28-May-21,12
6/9/2021,8,Xtreme,Movie,4-Jun-21,4
6/9/2021,9,Monsters vs. Aliens,Movie,1-Jun-21,5
