Date,Rank,Title,Type,Netflix Release Date,Days In Top 10
4/23/2020,6,Ozark,TV Show,21-Jul-17,27
4/23/2020,7,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,31
4/23/2020,8, #black,TV Show,17-Apr-20,6
4/23/2020,9,Absurd Planet,TV Show,22-Apr-20,1
4/23/2020,10,Cooked with Cannabis,TV Show,20-Apr-20,2
4/24/2020,1,The Willoughbys,Movie,22-Apr-20,2
4/24/2020,2,Outer Banks,TV Show,15-Apr-20,9
4/24/2020,3,Too Hot to Handle,TV Show,17-Apr-20,7
4/24/2020,4,Waco,TV Show,16-Apr-20,6
4/24/2020,5,Ozark,TV Show,21-Jul-17,28
4/24/2020,6,Despicable Me,Movie,16-Apr-20,8
4/24/2020,7,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,32
4/24/2020,8, #black,TV Show,17-Apr-20,7
4/24/2020,9,Absurd Planet,TV Show,22-Apr-20,2
4/24/2020,10,Cooked with Cannabis,TV Show,20-Apr-20,3
4/25/2020,1,Extraction,Movie,24-Apr-20,1
4/25/2020,2,The Willoughbys,Movie,22-Apr-20,3
4/25/2020,3,Outer Banks,TV Show,15-Apr-20,10
4/25/2020,4,Too Hot to Handle,TV Show,17-Apr-20,8
4/25/2020,5,Waco,TV Show,16-Apr-20,7
4/25/2020,6,Ozark,TV Show,21-Jul-17,29
4/25/2020,7,Despicable Me,Movie,16-Apr-20,9
4/25/2020,8,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,33
4/25/2020,9,Absurd Planet,TV Show,22-Apr-20,3
4/25/2020,10, #black,TV Show,17-Apr-20,8
4/26/2020,1,Extraction,Movie,24-Apr-20,2
4/26/2020,2,Outer Banks,TV Show,15-Apr-20,11
4/26/2020,3,The Willoughbys,Movie,22-Apr-20,4
4/26/2020,4,Waco,TV Show,16-Apr-20,8
4/26/2020,5,Too Hot to Handle,TV Show,17-Apr-20,9
4/26/2020,6,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,34
4/26/2020,7,Ozark,TV Show,21-Jul-17,30
4/26/2020,8,Absurd Planet,TV Show,22-Apr-20,4
4/26/2020,9,Despicable Me,Movie,16-Apr-20,10
4/26/2020,10,Django Unchained,Movie,25-Oct-14,1
4/27/2020,1,Extraction,Movie,24-Apr-20,3
4/27/2020,2,Outer Banks,TV Show,15-Apr-20,12
4/27/2020,3,Coronavirus  Explained,TV Show,26-Apr-20,1
4/27/2020,4,The Willoughbys,Movie,22-Apr-20,5
4/27/2020,5,Waco,TV Show,16-Apr-20,9
4/27/2020,6,Too Hot to Handle,TV Show,17-Apr-20,10
4/27/2020,7,The Last Kingdom,TV Show,10-Jul-16,1
4/27/2020,8,Django Unchained,Movie,25-Oct-14,2
4/27/2020,9,Ozark,TV Show,21-Jul-17,31
4/27/2020,10,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,35
4/28/2020,1,Extraction,Movie,24-Apr-20,4
4/28/2020,2,Outer Banks,TV Show,15-Apr-20,13
4/28/2020,3,The Last Kingdom,TV Show,10-Jul-16,2
4/28/2020,4,Coronavirus  Explained,TV Show,26-Apr-20,2
4/28/2020,5,The Willoughbys,Movie,22-Apr-20,6
4/28/2020,6,Never Have I Ever,TV Show,27-Apr-20,1
4/28/2020,7,Waco,TV Show,16-Apr-20,10
4/28/2020,8,Too Hot to Handle,TV Show,17-Apr-20,11
4/28/2020,9,Ozark,TV Show,21-Jul-17,32
4/28/2020,10,Django Unchained,Movie,25-Oct-14,3
4/29/2020,1,Extraction,Movie,24-Apr-20,5
4/29/2020,2,Never Have I Ever,TV Show,27-Apr-20,2
4/29/2020,3,Outer Banks,TV Show,15-Apr-20,14
4/29/2020,4,The Last Kingdom,TV Show,10-Jul-16,3
4/29/2020,5,The Willoughbys,Movie,22-Apr-20,7
4/29/2020,6,Waco,TV Show,16-Apr-20,11
4/29/2020,7,Ozark,TV Show,21-Jul-17,33
4/29/2020,8,Coronavirus  Explained,TV Show,26-Apr-20,3
4/29/2020,9,Too Hot to Handle,TV Show,17-Apr-20,12
4/29/2020,10,Django Unchained,Movie,25-Oct-14,4
4/30/2020,1,Never Have I Ever,TV Show,27-Apr-20,3
4/30/2020,2,Extraction,Movie,24-Apr-20,6
4/30/2020,3,Outer Banks,TV Show,15-Apr-20,15
4/30/2020,4,The Last Kingdom,TV Show,10-Jul-16,4
4/30/2020,5,Murder to Mercy: The Cyntoi…,Movie,29-Apr-20,1
4/30/2020,6,The Willoughbys,Movie,22-Apr-20,8
4/30/2020,7,Waco,TV Show,16-Apr-20,12
4/30/2020,8,Ozark,TV Show,21-Jul-17,34
4/30/2020,9,Django Unchained,Movie,25-Oct-14,5
4/30/2020,10,Too Hot to Handle,TV Show,17-Apr-20,13
5/1/2020,1,Never Have I Ever,TV Show,27-Apr-20,4
